epoch,train_loss,val_loss,train_iou,val_iou,train_dice,val_dice,train_precision,val_precision,train_recall,val_recall
1,0.9520161426067353,0.7396343396260188,0.4457895285521776,0.5251058357966162,0.6166727863890313,0.6886156009262597,0.5050554915072033,0.5499206127419912,0.7916210980536481,0.920866528228443
2,0.756561496257782,0.694941406066601,0.580394203894108,0.682708404741425,0.7344929543072363,0.8114399414868723,0.6483481351435837,0.8082615882366344,0.8470372259743022,0.81464339010347
3,0.7374219796061516,0.6642079949378967,0.5974369174090125,0.6817800537663539,0.7479943788679112,0.8107838504083865,0.6729438495620863,0.7840424360302712,0.8418863360949198,0.839413822235864
4,0.7335446152091026,0.6100665376736567,0.5913567487436422,0.6979171951208482,0.7432107843957825,0.8220862561806783,0.6617391193571202,0.7742559207493434,0.8475602867309254,0.8762152160924707
5,0.7071286910772323,0.6758870849242578,0.5875260952274396,0.5268450812754619,0.740178189188464,0.6901094128493479,0.6458528722827068,0.5386060126661542,0.8667675890856466,0.9602029724728607
6,0.6808550050854683,0.5188301985080426,0.6156390961437243,0.7568900365228847,0.7620997753931033,0.8616248265837617,0.6841023930951448,0.8312672290879932,0.8601715393145716,0.8942837666763577
7,0.5307295554876328,0.47481394043335545,0.7342711342425261,0.7525440060818144,0.8467777843321277,0.8588018371810097,0.8022283319784702,0.8027145478033798,0.8965660093594838,0.9233157785304539
8,0.5073780590295791,0.473850816488266,0.7316008732361292,0.7813512530657534,0.8449994274591298,0.8772568034754817,0.7868343666341364,0.8533674963031997,0.9124503859438748,0.9025221540558489
9,0.48341268956661226,0.43353440440618074,0.7554883844548442,0.7748924063524264,0.8607159023606487,0.8731711326039243,0.8144782494026277,0.8219762021589412,0.9125193131319336,0.9311667495716086
10,0.451266468167305,0.5121958095293778,0.7664241494363349,0.7817916781688864,0.8677691025464076,0.8775343242957773,0.8185325061443716,0.9005400200983592,0.9233081955418979,0.8556747808281101
11,0.458524187207222,0.3805394952113812,0.7642104748403207,0.8025087115539323,0.8663484156100928,0.8904353209611888,0.820854834237819,0.8468334745953449,0.9171805819024264,0.9387708479732526
12,0.4207976585626602,0.41021765997776616,0.7881151368148581,0.8055244865865425,0.8815037919971032,0.8922886314429744,0.8469525588197986,0.8740106243509522,0.9189939364646518,0.9113474561326843
13,0.3512136892974377,0.4551815872008984,0.8121504041960476,0.7732171754358632,0.89633884948568,0.872106571205305,0.8521633172953819,0.8484314027098894,0.9453448449088837,0.8971409621715899
14,0.33119711399078366,0.3940488879497235,0.8231488750891909,0.7779403320896117,0.9029968823022435,0.8751028569955428,0.8636858207711123,0.8269000446377371,0.9460571114088753,0.9292733574941675
15,0.3133340500295162,0.4227484143697299,0.8365797699565497,0.8118260357061655,0.9110192583427419,0.8961412626899949,0.8794346353627939,0.8990380183537866,0.9449571003926034,0.8932631141219629
16,0.3093453334271908,0.3572610490597211,0.8316272031460625,0.7865256960420578,0.9080747454696376,0.8805086854161226,0.8742129830476215,0.8267718354848256,0.9446654120121688,0.9417164754587573
